label,L_x0,L_y0,L_z0,L_x1,L_y1,L_z1,L_x2,L_y2,L_z2,L_x3,L_y3,L_z3,L_x4,L_y4,L_z4,L_x5,L_y5,L_z5,L_x6,L_y6,L_z6,L_x7,L_y7,L_z7,L_x8,L_y8,L_z8,L_x9,L_y9,L_z9,L_x10,L_y10,L_z10,L_x11,L_y11,L_z11,L_x12,L_y12,L_z12,L_x13,L_y13,L_z13,L_x14,L_y14,L_z14,L_x15,L_y15,L_z15,L_x16,L_y16,L_z16,L_x17,L_y17,L_z17,L_x18,L_y18,L_z18,L_x19,L_y19,L_z19,L_x20,L_y20,L_z20,R_x0,R_y0,R_z0,R_x1,R_y1,R_z1,R_x2,R_y2,R_z2,R_x3,R_y3,R_z3,R_x4,R_y4,R_z4,R_x5,R_y5,R_z5,R_x6,R_y6,R_z6,R_x7,R_y7,R_z7,R_x8,R_y8,R_z8,R_x9,R_y9,R_z9,R_x10,R_y10,R_z10,R_x11,R_y11,R_z11,R_x12,R_y12,R_z12,R_x13,R_y13,R_z13,R_x14,R_y14,R_z14,R_x15,R_y15,R_z15,R_x16,R_y16,R_z16,R_x17,R_y17,R_z17,R_x18,R_y18,R_z18,R_x19,R_y19,R_z19,R_x20,R_y20,R_z20,L_xshoulder,L_yshoulder,L_zshoulder,L_xelbow,L_yelbow,L_zelbow,L_xwrist,L_ywrist,L_zwrist,R_xshoulder,R_yshoulder,R_zshoulder,R_xelbow,R_yelbow,R_zelbow,R_xwrist,R_ywrist,R_zwrist
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3816129267215729,0.7938072681427002,-4.730597140678583e-07,0.4524708688259125,0.6965965628623962,0.019163377583026886,0.4664297103881836,0.5850319266319275,0.015767507255077362,0.4470504820346832,0.48860013484954834,0.0005181807209737599,0.4270991086959839,0.4153789281845093,-0.012644756585359573,0.48097240924835205,0.5514025092124939,0.015991369262337685,0.5100997686386108,0.44170573353767395,-0.021398650482296944,0.512313723564148,0.4786892831325531,-0.04240984097123146,0.5049039125442505,0.530961811542511,-0.05001949518918991,0.4545387029647827,0.5577014088630676,-0.013813875615596771,0.49126341938972473,0.4228089451789856,-0.05300763249397278,0.49087709188461304,0.47115468978881836,-0.06368818134069443,0.48027366399765015,0.5296615362167358,-0.06266278028488159,0.41898414492607117,0.5695062279701233,-0.04694325849413872,0.44912075996398926,0.45967257022857666,-0.08072713017463684,0.44625866413116455,0.5179305076599121,-0.07338686287403107,0.4339294731616974,0.5728839039802551,-0.06071355566382408,0.37701356410980225,0.588763952255249,-0.0793166309595108,0.40186193585395813,0.512470543384552,-0.09876496344804764,0.40776002407073975,0.5335222482681274,-0.09251633286476135,0.40193790197372437,0.5584807991981506,-0.08491992950439453,0.8664218187332153,0.9365177154541016,-0.16012348234653473,0.0,0.0,0.0,0.0,0.0,0.0,0.39703691005706787,0.9220969080924988,-0.27517133951187134,0.1945093274116516,1.2241897583007812,-1.1640702486038208,0.37968605756759644,0.7677704095840454,-2.3498623371124268
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39648157358169556,0.7661381959915161,-2.1302500385900203e-07,0.46279412508010864,0.6808947324752808,0.0022746333852410316,0.4767856001853943,0.5765193104743958,-0.007402874529361725,0.4525143504142761,0.480861097574234,-0.0262251328676939,0.43036630749702454,0.4118269681930542,-0.042521581053733826,0.48872753977775574,0.5200358033180237,0.014973392710089684,0.5128501653671265,0.4260947108268738,-0.024168066680431366,0.517951250076294,0.4669530987739563,-0.05126418545842171,0.5114578604698181,0.5229873657226562,-0.06191506236791611,0.4580076336860657,0.5237227082252502,-0.00456675048917532,0.4889878034591675,0.41811415553092957,-0.04514066502451897,0.4916689097881317,0.4713444709777832,-0.062358446419239044,0.4808153212070465,0.5292112827301025,-0.06420841813087463,0.42113256454467773,0.5373518466949463,-0.028825365006923676,0.4432668089866638,0.4531440734863281,-0.06394760310649872,0.44863712787628174,0.5234778523445129,-0.06118207052350044,0.440947562456131,0.5842483043670654,-0.0488659106194973,0.3793504536151886,0.5612429976463318,-0.05373711884021759,0.39718034863471985,0.4947764277458191,-0.07307350635528564,0.40823549032211304,0.5245596170425415,-0.06650357693433762,0.40522295236587524,0.5550945401191711,-0.056115519255399704,0.8419054746627808,0.9379359483718872,-0.22537854313850403,0.0,0.0,0.0,0.0,0.0,0.0,0.36606642603874207,0.9357584118843079,-0.31359776854515076,0.17951682209968567,1.2237862348556519,-1.2665081024169922,0.37204572558403015,0.7804991006851196,-2.348618268966675
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4100458025932312,0.7106196880340576,-6.424484411127196e-08,0.4760611951351166,0.6373275518417358,-0.021387290209531784,0.4886137843132019,0.5432825684547424,-0.03611245006322861,0.4566393196582794,0.45137903094291687,-0.054656606167554855,0.434318482875824,0.38081035017967224,-0.06749515980482101,0.48945510387420654,0.4826018512248993,0.010198870673775673,0.5249143242835999,0.42251455783843994,-0.035680387169122696,0.5236150622367859,0.4719600975513458,-0.06782075017690659,0.5106508731842041,0.5315439701080322,-0.08039703965187073,0.451509028673172,0.4768151640892029,0.004236801527440548,0.4950835108757019,0.4084772765636444,-0.04180396720767021,0.4948837161064148,0.4684000313282013,-0.06095472350716591,0.4844278395175934,0.5314810276031494,-0.06157965958118439,0.41108545660972595,0.4779755175113678,-0.009899277240037918,0.45168766379356384,0.44831061363220215,-0.0548795685172081,0.4543342590332031,0.5271199941635132,-0.05388413742184639,0.4459465742111206,0.5883495211601257,-0.03864806145429611,0.36877259612083435,0.48922184109687805,-0.026645973324775696,0.41286471486091614,0.4795200526714325,-0.053231075406074524,0.41903573274612427,0.5384247899055481,-0.04677828028798103,0.4101063311100006,0.5810593962669373,-0.03320777416229248,0.8347360491752625,0.9390514492988586,-0.28680145740509033,0.0,0.0,0.0,0.0,0.0,0.0,0.3549363315105438,0.9406563639640808,-0.36064571142196655,0.17438748478889465,1.229757308959961,-1.3192063570022583,0.36660972237586975,0.7866267561912537,-2.3714165687561035
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417522668838501,0.6878578662872314,-1.239477569470182e-07,0.47658461332321167,0.630010187625885,-0.025747526437044144,0.492029070854187,0.536483883857727,-0.03891822323203087,0.4548187553882599,0.45556798577308655,-0.05333644524216652,0.42828699946403503,0.39416348934173584,-0.06140105798840523,0.485647052526474,0.4797021448612213,0.0007519414648413658,0.5270055532455444,0.42394670844078064,-0.04179951176047325,0.5245278477668762,0.4819648563861847,-0.06725184619426727,0.5118730068206787,0.5372527241706848,-0.07574712485074997,0.4460923671722412,0.4739677309989929,-0.0021053405944257975,0.49284693598747253,0.40685734152793884,-0.046875566244125366,0.49317118525505066,0.475344717502594,-0.06053287163376808,0.4857548773288727,0.5364550948143005,-0.056231677532196045,0.4063825011253357,0.47550925612449646,-0.012834633700549603,0.44913655519485474,0.448640376329422,-0.059377167373895645,0.4518256187438965,0.5350147485733032,-0.056620482355356216,0.4451308250427246,0.593513011932373,-0.03866760805249214,0.3667498528957367,0.48548588156700134,-0.025941306725144386,0.41463226079940796,0.4802214503288269,-0.05376271530985832,0.41953766345977783,0.5423330068588257,-0.04781317338347435,0.4101211428642273,0.5793671607971191,-0.03415649011731148,0.8349749445915222,0.9362819194793701,-0.3559033274650574,0.0,0.0,0.0,0.0,0.0,0.0,0.35580164194107056,0.9400724768638611,-0.37416350841522217,0.17536655068397522,1.2237236499786377,-1.3343069553375244,0.3669048547744751,0.7860273718833923,-2.4003424644470215
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4202352464199066,0.6765363812446594,-1.7007670294333366e-07,0.47656407952308655,0.62726891040802,-0.02481323480606079,0.4943399429321289,0.5306575298309326,-0.035498738288879395,0.4555131494998932,0.45517027378082275,-0.04660465568304062,0.426209032535553,0.39951252937316895,-0.05192463845014572,0.486870676279068,0.4725019335746765,-0.00035394198494032025,0.5244090557098389,0.423027366399765,-0.040342796593904495,0.5205216407775879,0.48114874958992004,-0.06385976076126099,0.5073344111442566,0.5371440649032593,-0.0710950568318367,0.4474108815193176,0.46483248472213745,-0.002058739308267832,0.4890204071998596,0.4054783880710602,-0.04355258122086525,0.4886615574359894,0.470081627368927,-0.05562464892864227,0.48140689730644226,0.5298603177070618,-0.05043230578303337,0.40804097056388855,0.4673919677734375,-0.011145004071295261,0.44546154141426086,0.4494680166244507,-0.05389254912734032,0.44982123374938965,0.5337007641792297,-0.05116606876254082,0.4457032084465027,0.5914464592933655,-0.0341360904276371,0.36905738711357117,0.4798530340194702,-0.022528106346726418,0.4132124185562134,0.48367318511009216,-0.04894264414906502,0.42115461826324463,0.5464839339256287,-0.0439719632267952,0.4164719879627228,0.5839239358901978,-0.031192250549793243,0.8345872163772583,0.9346786737442017,-0.33886682987213135,0.0,0.0,0.0,0.0,0.0,0.0,0.35758715867996216,0.9375936985015869,-0.3681178390979767,0.1759960651397705,1.1998748779296875,-1.3117458820343018,0.3701622784137726,0.7823951244354248,-2.3599648475646973
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42324498295783997,0.6731257438659668,-1.3700957879336784e-07,0.47775983810424805,0.6232863068580627,-0.02443036623299122,0.4939901828765869,0.5284966826438904,-0.035107459872961044,0.45692601799964905,0.4571446180343628,-0.04618406668305397,0.428382933139801,0.40354278683662415,-0.051671262830495834,0.48635128140449524,0.47263461351394653,-0.0006339686224237084,0.523506760597229,0.42549484968185425,-0.04056462645530701,0.5194389224052429,0.48060643672943115,-0.06391748040914536,0.506685733795166,0.5344980359077454,-0.07079719007015228,0.4480275511741638,0.46617549657821655,-0.0024272287264466286,0.49070826172828674,0.4061204791069031,-0.04478038474917412,0.48990902304649353,0.46717900037765503,-0.0572676919400692,0.4824271500110626,0.5260568261146545,-0.05168147757649422,0.40882790088653564,0.46887636184692383,-0.011429334059357643,0.4447918236255646,0.4513814151287079,-0.05526072904467583,0.44882145524024963,0.5349341630935669,-0.053264934569597244,0.4456861913204193,0.5927416086196899,-0.03589298948645592,0.369996041059494,0.4811367988586426,-0.022523334249854088,0.41244179010391235,0.48235076665878296,-0.0495591014623642,0.41992080211639404,0.5451183915138245,-0.0444549061357975,0.41607117652893066,0.583694338798523,-0.031036652624607086,0.8356952667236328,0.9334155321121216,-0.3506256639957428,0.0,0.0,0.0,0.0,0.0,0.0,0.3607281744480133,0.9373615980148315,-0.37529435753822327,0.17624959349632263,1.20108962059021,-1.3194806575775146,0.37208375334739685,0.7813647389411926,-2.377858877182007
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42502349615097046,0.6683675050735474,-1.704505621091812e-07,0.47940146923065186,0.6191925406455994,-0.02276010625064373,0.49581101536750793,0.5249274969100952,-0.0316413938999176,0.46014147996902466,0.4528588354587555,-0.04119911789894104,0.4326208829879761,0.39915895462036133,-0.04559987038373947,0.48899924755096436,0.47101205587387085,0.001993573037907481,0.5259584784507751,0.42239734530448914,-0.036437757313251495,0.5228250622749329,0.47721195220947266,-0.05896823853254318,0.5103772878646851,0.5303620100021362,-0.0655062198638916,0.4512784779071808,0.4637358486652374,8.240870374720544e-05,0.4936532974243164,0.4034903645515442,-0.040601540356874466,0.49194997549057007,0.46613913774490356,-0.0525989793241024,0.48372942209243774,0.5262385010719299,-0.046999529004096985,0.412376344203949,0.46584251523017883,-0.008892021141946316,0.4486238956451416,0.4455665647983551,-0.05095723643898964,0.4521997570991516,0.5275981426239014,-0.0489799901843071,0.44877904653549194,0.5845363140106201,-0.0321430079638958,0.3727404475212097,0.47782087326049805,-0.019809383898973465,0.41452762484550476,0.475866436958313,-0.04606781527400017,0.4222029745578766,0.5377622246742249,-0.04115356132388115,0.4187585413455963,0.5762157440185547,-0.028094317764043808,0.8365936279296875,0.932299792766571,-0.33321303129196167,0.0,0.0,0.0,0.0,0.0,0.0,0.36295080184936523,0.9370511174201965,-0.36893966794013977,0.17638608813285828,1.1992626190185547,-1.308539628982544,0.37220683693885803,0.7788121104240417,-2.332268476486206
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4250966012477875,0.6652299165725708,-1.6131312463585346e-07,0.47926968336105347,0.6193310022354126,-0.02461043745279312,0.49656179547309875,0.5243903398513794,-0.03450978547334671,0.4597871005535126,0.45170605182647705,-0.044483814388513565,0.43133965134620667,0.397990345954895,-0.048964422196149826,0.48996371030807495,0.4690597653388977,-0.000867089256644249,0.5259304642677307,0.41992777585983276,-0.03934025391936302,0.5222980380058289,0.47565603256225586,-0.06154002621769905,0.5094649195671082,0.5285472273826599,-0.06785324215888977,0.45192623138427734,0.46138882637023926,-0.002068987349048257,0.493171751499176,0.4007476568222046,-0.042494457215070724,0.49202919006347656,0.4635674059391022,-0.053893983364105225,0.4836251437664032,0.5222410559654236,-0.04796631634235382,0.41275477409362793,0.46341466903686523,-0.01036835741251707,0.4471140205860138,0.44423699378967285,-0.052164435386657715,0.4499921500682831,0.526422381401062,-0.049557749181985855,0.44520652294158936,0.5823445320129395,-0.032471366226673126,0.3734375834465027,0.47524386644363403,-0.0207685474306345,0.41533225774765015,0.4734530448913574,-0.04643871262669563,0.421720027923584,0.5358283519744873,-0.04087384045124054,0.41619014739990234,0.573968231678009,-0.02759566158056259,0.837247371673584,0.9322158694267273,-0.37956517934799194,0.0,0.0,0.0,0.0,0.0,0.0,0.36435455083847046,0.9368274211883545,-0.380468487739563,0.17296452820301056,1.1853032112121582,-1.343048334121704,0.37292492389678955,0.7728360891342163,-2.3824756145477295
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4244785010814667,0.6634092330932617,-1.6052247531206376e-07,0.4782445728778839,0.6196771860122681,-0.02535422146320343,0.49595487117767334,0.5242225527763367,-0.03556821495294571,0.4589233994483948,0.45118463039398193,-0.04562234506011009,0.430644154548645,0.39648860692977905,-0.05018230155110359,0.49045321345329285,0.4682134687900543,-0.0016335123218595982,0.5254071950912476,0.41882234811782837,-0.039541661739349365,0.5212956666946411,0.4739295244216919,-0.061506059020757675,0.5082042217254639,0.526628315448761,-0.06785896420478821,0.4527270495891571,0.461149662733078,-0.002476210007444024,0.4928440451622009,0.39924103021621704,-0.04210089519619942,0.4919936954975128,0.46076327562332153,-0.05352300405502319,0.48388946056365967,0.5184202790260315,-0.04801742732524872,0.4137192368507385,0.46340733766555786,-0.010367565788328648,0.4470157027244568,0.4410514533519745,-0.05194530636072159,0.45068448781967163,0.5228935480117798,-0.04949169605970383,0.44651302695274353,0.5788094997406006,-0.03280748426914215,0.3743126392364502,0.47498956322669983,-0.02031996287405491,0.414756715297699,0.4714047312736511,-0.046642206609249115,0.42143577337265015,0.5347089171409607,-0.041268110275268555,0.41674530506134033,0.5737372040748596,-0.028153715655207634,0.8376895189285278,0.9319722056388855,-0.3534647226333618,0.0,0.0,0.0,0.9105197191238403,0.9829902052879333,-2.1967687606811523,0.3679294288158417,0.9367200136184692,-0.37619754672050476,0.16731269657611847,1.1828982830047607,-1.3267931938171387,0.3736911714076996,0.76912522315979,-2.3439178466796875
N02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42467814683914185,0.6618946194648743,-1.4366648315444763e-07,0.47800832986831665,0.6167522072792053,-0.02532258816063404,0.49597984552383423,0.5215247869491577,-0.03551733121275902,0.46011731028556824,0.44850432872772217,-0.04567756503820419,0.43115803599357605,0.39505064487457275,-0.05041005462408066,0.49038955569267273,0.46435263752937317,-0.0004433219728525728,0.525581419467926,0.4174627661705017,-0.03942148759961128,0.5221378803253174,0.47135767340660095,-0.06257311999797821,0.5095284581184387,0.5243607759475708,-0.06950557976961136,0.45222607254981995,0.45719581842422485,-0.0012669111602008343,0.49246492981910706,0.39891502261161804,-0.04208630695939064,0.49230921268463135,0.45961642265319824,-0.05449244752526283,0.4851062595844269,0.5166692137718201,-0.04933612793684006,0.41307973861694336,0.45952364802360535,-0.009337243624031544,0.4465991258621216,0.4398525059223175,-0.05191248655319214,0.4515738785266876,0.5205399990081787,-0.05040055140852928,0.4490392804145813,0.5756986737251282,-0.03396419808268547,0.37363573908805847,0.47131335735321045,-0.0195342805236578,0.41347256302833557,0.47026023268699646,-0.04669109731912613,0.4207419455051422,0.533002495765686,-0.04214830696582794,0.41734156012535095,0.571617841720581,-0.02928697131574154,0.8380224108695984,0.9315769076347351,-0.38457754254341125,0.0,0.0,0.0,0.9095293283462524,0.9865642189979553,-2.2524454593658447,0.36887305974960327,0.9360326528549194,-0.414345920085907,0.16571535170078278,1.1797133684158325,-1.3896735906600952,0.37562626600265503,0.7651131749153137,-2.4660165309906006
