label,L_x0,L_y0,L_z0,L_x1,L_y1,L_z1,L_x2,L_y2,L_z2,L_x3,L_y3,L_z3,L_x4,L_y4,L_z4,L_x5,L_y5,L_z5,L_x6,L_y6,L_z6,L_x7,L_y7,L_z7,L_x8,L_y8,L_z8,L_x9,L_y9,L_z9,L_x10,L_y10,L_z10,L_x11,L_y11,L_z11,L_x12,L_y12,L_z12,L_x13,L_y13,L_z13,L_x14,L_y14,L_z14,L_x15,L_y15,L_z15,L_x16,L_y16,L_z16,L_x17,L_y17,L_z17,L_x18,L_y18,L_z18,L_x19,L_y19,L_z19,L_x20,L_y20,L_z20,R_x0,R_y0,R_z0,R_x1,R_y1,R_z1,R_x2,R_y2,R_z2,R_x3,R_y3,R_z3,R_x4,R_y4,R_z4,R_x5,R_y5,R_z5,R_x6,R_y6,R_z6,R_x7,R_y7,R_z7,R_x8,R_y8,R_z8,R_x9,R_y9,R_z9,R_x10,R_y10,R_z10,R_x11,R_y11,R_z11,R_x12,R_y12,R_z12,R_x13,R_y13,R_z13,R_x14,R_y14,R_z14,R_x15,R_y15,R_z15,R_x16,R_y16,R_z16,R_x17,R_y17,R_z17,R_x18,R_y18,R_z18,R_x19,R_y19,R_z19,R_x20,R_y20,R_z20,L_xshoulder,L_yshoulder,L_zshoulder,L_xelbow,L_yelbow,L_zelbow,L_xwrist,L_ywrist,L_zwrist,R_xshoulder,R_yshoulder,R_zshoulder,R_xelbow,R_yelbow,R_zelbow,R_xwrist,R_ywrist,R_zwrist
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057679533958435,0.6785741448402405,-7.280439007217865e-08,0.3742586076259613,0.6305592060089111,0.025335879996418953,0.41154056787490845,0.588285505771637,0.027864301577210426,0.44379156827926636,0.5547361373901367,0.01721803843975067,0.4570482671260834,0.511443018913269,0.006797920912504196,0.35709303617477417,0.4951653480529785,0.047790154814720154,0.3976036608219147,0.4248793125152588,0.031552381813526154,0.43537282943725586,0.45796453952789307,0.011368985287845135,0.44835364818573,0.4979687035083771,-9.605194645700976e-05,0.34429851174354553,0.4912683665752411,0.021343188360333443,0.3920070230960846,0.4111964702606201,0.006093473173677921,0.43464213609695435,0.45212888717651367,-0.01310066320002079,0.44665342569351196,0.49594739079475403,-0.02475954033434391,0.33673760294914246,0.4935011863708496,-0.007338575553148985,0.38457798957824707,0.41377779841423035,-0.01959524117410183,0.4284013509750366,0.45118123292922974,-0.02807139791548252,0.44008347392082214,0.49658116698265076,-0.03210129961371422,0.33598899841308594,0.5054299831390381,-0.035277288407087326,0.38463687896728516,0.45018017292022705,-0.04129661247134209,0.4200848340988159,0.47114962339401245,-0.040504053235054016,0.43217751383781433,0.5063086152076721,-0.03953884541988373,0.7681795954704285,0.7828541398048401,-0.20513585209846497,0.0,0.0,0.0,0.0,0.0,0.0,0.39579877257347107,0.7664960622787476,-0.18300761282444,0.198357954621315,1.0352098941802979,-0.7211188673973083,0.31244581937789917,0.6400989890098572,-1.4711682796478271
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30558449029922485,0.6730502843856812,9.33703532268737e-08,0.37355107069015503,0.6324934959411621,0.034566789865493774,0.4105454385280609,0.5882285833358765,0.04580526053905487,0.4440619945526123,0.5536627769470215,0.04159455746412277,0.45934388041496277,0.5064013600349426,0.036736927926540375,0.362703412771225,0.506460428237915,0.08010042458772659,0.39615315198898315,0.4392472505569458,0.07722248136997223,0.4322262108325958,0.45903775095939636,0.06186751276254654,0.44549593329429626,0.49046939611434937,0.05228089913725853,0.3491620719432831,0.4967707097530365,0.05103170499205589,0.39107564091682434,0.41929134726524353,0.046241749078035355,0.4328538179397583,0.4488475024700165,0.024368885904550552,0.44538748264312744,0.4901963770389557,0.010524513199925423,0.33848729729652405,0.4942682683467865,0.019745122641324997,0.3805633783340454,0.41989120841026306,0.016639836132526398,0.42528656125068665,0.45041224360466003,0.0058084516786038876,0.43791109323501587,0.49237707257270813,-0.0007162521942518651,0.3341400623321533,0.5046206712722778,-0.010241439566016197,0.38073432445526123,0.44696539640426636,-0.009477843530476093,0.4184642732143402,0.46372121572494507,-0.007771520875394344,0.4334929287433624,0.49712204933166504,-0.006725259590893984,0.7682598829269409,0.7838131785392761,-0.16632358729839325,0.0,0.0,0.0,0.0,0.0,0.0,0.39487749338150024,0.7677294611930847,-0.1696280539035797,0.19833824038505554,1.0501497983932495,-0.7124003171920776,0.31206512451171875,0.648386538028717,-1.4458367824554443
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30811187624931335,0.6705297827720642,1.7142785679880035e-07,0.37195631861686707,0.6313720941543579,0.03002631664276123,0.40884438157081604,0.5887492895126343,0.0384288989007473,0.44303765892982483,0.5547474026679993,0.032608512789011,0.45728862285614014,0.507054328918457,0.026580998674035072,0.3585377335548401,0.509479284286499,0.07153532654047012,0.39267900586128235,0.44157809019088745,0.06590938568115234,0.428375244140625,0.4605741798877716,0.05035058781504631,0.4418294131755829,0.494548499584198,0.04158162698149681,0.3457316756248474,0.49946993589401245,0.04498528316617012,0.3895959258079529,0.41903555393218994,0.037625573575496674,0.4305493235588074,0.44781655073165894,0.01680918037891388,0.44245949387550354,0.490814208984375,0.004921834450215101,0.3353690803050995,0.49609774351119995,0.016148841008543968,0.3789302408695221,0.41960281133651733,0.0113148158416152,0.42264410853385925,0.4493334889411926,0.002174017485231161,0.43465179204940796,0.49207842350006104,-0.002187537495046854,0.331693559885025,0.50562983751297,-0.011684040538966656,0.3795466721057892,0.4494886100292206,-0.012167742475867271,0.4168994724750519,0.4658764898777008,-0.009998844005167484,0.431522399187088,0.4987596571445465,-0.007741009816527367,0.7685574293136597,0.783812940120697,-0.17115692794322968,0.0,0.0,0.0,0.0,0.0,0.0,0.39444500207901,0.7721811532974243,-0.17041152715682983,0.19889040291309357,1.0583651065826416,-0.7011145353317261,0.31204837560653687,0.6538387537002563,-1.41742742061615
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30587953329086304,0.6714937090873718,1.743399025144754e-07,0.3723621070384979,0.6330024003982544,0.03130990266799927,0.4090552031993866,0.5903713703155518,0.04030265286564827,0.4426504969596863,0.5554121136665344,0.034424226731061935,0.4578041434288025,0.5063106417655945,0.028131091967225075,0.3616912066936493,0.5119003057479858,0.07718930393457413,0.39236485958099365,0.4433266222476959,0.07345779240131378,0.4271202087402344,0.4587801396846771,0.05873361602425575,0.44025394320487976,0.4906359910964966,0.05031821131706238,0.3480401635169983,0.5017997622489929,0.04975027218461037,0.3884432017803192,0.4227933883666992,0.044427577406167984,0.42834630608558655,0.4482521712779999,0.024027250707149506,0.44028547406196594,0.48941880464553833,0.012160515412688255,0.33628854155540466,0.4978787302970886,0.019704965874552727,0.37732765078544617,0.42334985733032227,0.016019737347960472,0.4206067621707916,0.45090875029563904,0.006928598508238792,0.4330284297466278,0.49223726987838745,0.002428732579573989,0.3311287462711334,0.5068972706794739,-0.009351756423711777,0.37778031826019287,0.4504363536834717,-0.009545321576297283,0.41562581062316895,0.4657275974750519,-0.00740768201649189,0.4312138557434082,0.49840715527534485,-0.005195166915655136,0.7686060070991516,0.7837957739830017,-0.1583453267812729,0.0,0.0,0.0,0.0,0.0,0.0,0.3938502073287964,0.7728295922279358,-0.14607395231723785,0.20050780475139618,1.0606504678726196,-0.6922652125358582,0.30971866846084595,0.660557210445404,-1.4243454933166504
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30769971013069153,0.6719310283660889,1.590336466961162e-07,0.3700426518917084,0.6353154182434082,0.019993357360363007,0.40709784626960754,0.5920708775520325,0.023593710735440254,0.4400804936885834,0.5562955737113953,0.015271668322384357,0.4567435383796692,0.5079362988471985,0.007397889159619808,0.36135607957839966,0.5126528143882751,0.054218340665102005,0.3937678039073944,0.43971943855285645,0.043632909655570984,0.4275578260421753,0.459427148103714,0.027307217940688133,0.43962377309799194,0.4940743148326874,0.01897219382226467,0.3472079038619995,0.5038808584213257,0.032562535256147385,0.3885451853275299,0.4215162396430969,0.021459614858031273,0.4274081587791443,0.45055657625198364,0.0022318547125905752,0.4382304251194,0.49276596307754517,-0.008054333738982677,0.33441898226737976,0.501936137676239,0.00811355747282505,0.37725749611854553,0.42321959137916565,-0.0007630102336406708,0.41870003938674927,0.4525720775127411,-0.009200815111398697,0.429968923330307,0.49515268206596375,-0.012143860571086407,0.3275148868560791,0.511955738067627,-0.01594802550971508,0.3747880160808563,0.45385342836380005,-0.02088160067796707,0.41186854243278503,0.46892574429512024,-0.020382927730679512,0.42659974098205566,0.5011194348335266,-0.018382975831627846,0.7691963911056519,0.7863000631332397,-0.16288825869560242,0.0,0.0,0.0,0.0,0.0,0.0,0.392855703830719,0.7738867402076721,-0.14856582880020142,0.2004890739917755,1.0628535747528076,-0.6904041767120361,0.30820420384407043,0.6601871252059937,-1.4251644611358643
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3022995591163635,0.6724498271942139,1.2699162255103147e-07,0.36914440989494324,0.6344252228736877,0.03163159266114235,0.4056384861469269,0.5889074206352234,0.04195064306259155,0.43871498107910156,0.5548424124717712,0.03763457015156746,0.45329561829566956,0.5075413584709167,0.03298236057162285,0.3595472276210785,0.511222243309021,0.07513322681188583,0.3896380662918091,0.44200748205184937,0.07163777202367783,0.42399510741233826,0.45795586705207825,0.05777828022837639,0.43639233708381653,0.4891310930252075,0.049793045967817307,0.34576231241226196,0.5019175410270691,0.04794809967279434,0.3859225809574127,0.4230550527572632,0.042894117534160614,0.42503130435943604,0.45004701614379883,0.023282930254936218,0.4348958730697632,0.4908418655395508,0.011731542646884918,0.3337244987487793,0.4988430440425873,0.0183548703789711,0.3750956952571869,0.42528218030929565,0.014479853212833405,0.4175572693347931,0.4547201991081238,0.0055092014372348785,0.4283286929130554,0.4957806468009949,0.001090500270947814,0.32756659388542175,0.5081584453582764,-0.010096458718180656,0.37346750497817993,0.45114246010780334,-0.010512488894164562,0.4106232225894928,0.4665425419807434,-0.00856380257755518,0.42466476559638977,0.49850866198539734,-0.006614800076931715,0.768380343914032,0.7865475416183472,-0.15879550576210022,0.0,0.0,0.0,0.0,0.0,0.0,0.3899310231208801,0.7753061652183533,-0.14918725192546844,0.19956152141094208,1.0690596103668213,-0.701124906539917,0.3065981864929199,0.6608083844184875,-1.4615685939788818
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3046633005142212,0.6714814305305481,1.2638582802537712e-07,0.367115318775177,0.6306636333465576,0.020291659981012344,0.40490901470184326,0.5893840193748474,0.022991951555013657,0.43717825412750244,0.5567303895950317,0.013873201794922352,0.4524209201335907,0.5091363787651062,0.005176443140953779,0.36107000708580017,0.5098490118980408,0.04995439574122429,0.3911961317062378,0.4388798475265503,0.03730162978172302,0.42431312799453735,0.45869895815849304,0.02042252942919731,0.4363057315349579,0.49255794286727905,0.011911217123270035,0.34593793749809265,0.5017542243003845,0.02747705578804016,0.38593173027038574,0.4222428798675537,0.014297442510724068,0.4240221381187439,0.45164182782173157,-0.004674999043345451,0.4343555271625519,0.4934754967689514,-0.014503301121294498,0.33211952447891235,0.5005581974983215,0.002398747717961669,0.3730546236038208,0.4263761341571808,-0.008308319374918938,0.41448402404785156,0.4554874002933502,-0.01662476733326912,0.4270235002040863,0.4968380928039551,-0.019147086888551712,0.3243142068386078,0.5111233592033386,-0.022182384505867958,0.3694029748439789,0.45509517192840576,-0.028575200587511063,0.4068675935268402,0.46972131729125977,-0.02832256816327572,0.4233478009700775,0.5004602074623108,-0.02622031606733799,0.7657660841941833,0.7865332365036011,-0.1352212280035019,0.0,0.0,0.0,0.0,0.0,0.0,0.38508370518684387,0.7752739787101746,-0.15196922421455383,0.1973804235458374,1.0678341388702393,-0.7193782925605774,0.3052333891391754,0.6606985926628113,-1.4949147701263428
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3020912706851959,0.6686760187149048,1.3704350010357302e-07,0.366376668214798,0.6301218271255493,0.026404259726405144,0.4030102491378784,0.5875903964042664,0.03317752853035927,0.4360254406929016,0.5552538633346558,0.026760278269648552,0.4480711817741394,0.5081276893615723,0.020453883334994316,0.35603249073028564,0.5101181864738464,0.06296008080244064,0.38627150654792786,0.4384896755218506,0.0550181083381176,0.4214955270290375,0.45587337017059326,0.03942777216434479,0.43515077233314514,0.48987939953804016,0.03113168478012085,0.34275245666503906,0.5017468929290771,0.03830254450440407,0.3826621174812317,0.4233115017414093,0.02935049869120121,0.422310471534729,0.4512150287628174,0.009864285588264465,0.4328649938106537,0.49267154932022095,-0.0008875309722498059,0.3310346007347107,0.4998910427093506,0.01127090398222208,0.37195131182670593,0.4257151186466217,0.004983865190297365,0.4145151376724243,0.4536149799823761,-0.003174948738887906,0.425662100315094,0.49463310837745667,-0.006509303580969572,0.3252251148223877,0.5097699761390686,-0.014967243187129498,0.36988598108291626,0.45320895314216614,-0.017224933952093124,0.40617600083351135,0.46789756417274475,-0.015338498167693615,0.41983070969581604,0.49978920817375183,-0.01280417013913393,0.7653237581253052,0.7866027355194092,-0.1386205404996872,0.0,0.0,0.0,0.0,0.0,0.0,0.38408058881759644,0.7758448123931885,-0.13878270983695984,0.19602206349372864,1.068851113319397,-0.7078869938850403,0.3037340044975281,0.6605446934700012,-1.4792454242706299
O01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29775816202163696,0.6693093776702881,1.4583719121219474e-07,0.3648594319820404,0.6331776976585388,0.03212454169988632,0.40147367119789124,0.5876125693321228,0.042196065187454224,0.43508264422416687,0.5548622608184814,0.03756783530116081,0.4470859467983246,0.5085647106170654,0.03267545998096466,0.35554084181785583,0.5080850124359131,0.07256317883729935,0.3870033323764801,0.43654537200927734,0.06644487380981445,0.4223642945289612,0.45576128363609314,0.05098417401313782,0.43538886308670044,0.4904833137989044,0.042476460337638855,0.34146249294281006,0.5004749298095703,0.04442388936877251,0.3824942708015442,0.4229167699813843,0.03714042529463768,0.42289891839027405,0.45134130120277405,0.01722809486091137,0.4327675700187683,0.49313080310821533,0.006063550710678101,0.3291425406932831,0.4986361563205719,0.013924384489655495,0.3712767958641052,0.4267861545085907,0.008837401866912842,0.41432368755340576,0.4552620053291321,0.0008319260086864233,0.42482563853263855,0.495587557554245,-0.0024930587969720364,0.32285138964653015,0.5079560875892639,-0.015504964627325535,0.36891818046569824,0.45264485478401184,-0.016979524865746498,0.4053077697753906,0.46790140867233276,-0.014515259303152561,0.41840073466300964,0.4999288022518158,-0.011627327650785446,0.7653084397315979,0.7865665555000305,-0.14294904470443726,0.0,0.0,0.0,0.0,0.0,0.0,0.38357603549957275,0.7780681252479553,-0.14164935052394867,0.1942281424999237,1.0745880603790283,-0.7047356963157654,0.30198758840560913,0.6607736349105835,-1.4717833995819092
